id, owner, vaultDebt, vaultCollateral 
460, 0x79603115Df2Ba00659ADC63192325CF104ca529C, 0, 0.3637743727952597
461, 0x1C494f1919C1512ebE74a5dCc17DAC9A64069023, 0, 0
462, 0x790c7fcF04fD34Cf05f462755aA0b149F82A07ef, 100, 0.4705335098543071
463, 0x7579F7113CE18AD1815738f39297Aa5DC22c70f3, 0, 0
464, 0x84aCb4278360AB4A09dF2f963A14724f51098518, 0, 0
465, 0xA64a287F973700388C631378067Ab8F01618514d, 0, 0
466, 0x7Fe4D3F9A56444A7A779d691B1C1c2421c0C9AaB, 0, 0
467, 0x274Dd29F062e74B2d09beE8562c68A21d7C09263, 0, 0.9116672995518972
468, 0x8c904FacfcC37c5c9d09f014e4b657342524F1e4, 0, 0.18331740113088907
469, 0x932f500A964cB1b63e22E1f29c1Af4736676cB68, 0, 0.19618830199803647
470, 0x932f500A964cB1b63e22E1f29c1Af4736676cB68, 0, 0
471, 0x932f500A964cB1b63e22E1f29c1Af4736676cB68, 0, 0
472, 0xBa4074Ca3e68095D9A490008fCb68E9ab205636A, 0, 6.664924893966653
473, 0xF594Ff31aD2bc73324039A8D5EF0b07ad6105DdA, 0, 0
474, 0x8f431E9Dd3aB0705d8e3132Ad260d20Dc1Df4FE7, 0, 0.07225017106789311
475, 0x670fbD72155b2aE2e5336C82dC62C8b22eD4BA09, 0, 0.022081855490356826
476, 0x6bC9Bd392aFDCD63922480221994251287Bb0334, 0, 0
477, 0x06Ad12D2fC88ca0893Ee61874BF5F6A9b265D674, 0, 0
478, 0xC55D1ce5943CE2d7CB91309B03882F800E20f6bc, 0, 8e-18
479, 0x991333C1644254E42f7AAe84079ee70740674c62, 0, 0.644215824566814
480, 0x830aD77c26c5E0fDBCD353Ac338Ec08053C1c02C, 0, 0
481, 0xd1D373a6DE19f0f8113aa3C677DDB4dA4F529D45, 0, 0
482, 0x07F19FEFF5Ee8d3e7C9973D3c9d1760bEE106845, 0, 0
483, 0xBe1D7136dc7da1a6C01Fb8a8732C0a8095380494, 0, 0
484, 0xDd77a81910f4513524bdA1394A3dE2237E4288e1, 0, 0
485, 0xDd77a81910f4513524bdA1394A3dE2237E4288e1, 0, 0
486, 0x8B6E7c1a343EFd9c7D1E9E06cdae24d5A664DEF3, 0, 0
487, 0xB62fd57014b893FAB6D15175c6f23B98B3CBc372, 0, 0
488, 0x8760cdF42C6907bEf15aD6a5bA561562f3F8DAC8, 0, 0
489, 0x075eb5d8795bFb2Ac2745B4183b1626b0570F12f, 0, 0
490, 0x5a6F97C60745FA3BAfB00ab45dD4055d7b8fdb1B, 0, 0
491, 0x6908de602Bf5B69e9B46227957891ED0cEB59Af5, 0, 0
492, 0x8b72116f3c6c62a29569E89c0ed00cA70caAd47F, 0, 11.289945442133789
493, 0xADbF0889468dc6b9b74eb60bCFC4Cc51dBC528B5, 0, 0.10241171334006906
494, 0x587755F6dFbdEB17306C839e9a845b6BC3C267Ca, 0, 0
